time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.67164520835e-06,2.41172199435e-06,10.0043537428,0.00126785553173,0.000878804007938,0.0,-0.000119402632958,0.000172264797001,0.145116582309,0.0422612364873,0.0292935506789,0.0,451.18439373923314,453.5427761206129,447.89134977699706,451.31474476229965
0.12000000000000001,-4.07160342342e-05,5.53443885604e-05,10.020832983,0.003082284366,0.00320788068501,0.0,-0.00145053825877,0.00185007391629,0.404134470646,0.0182219363847,0.0483404806384,0.0,483.92649501107405,485.35832601999186,485.82328724661943,484.01821519607705
0.18,-0.000211099612944,0.000238812109179,10.0495588975,0.0040464816263,0.00634543311155,0.0,-0.0045629655594,0.00437539688543,0.553333244581,0.0139180795227,0.0562433312979,0.0,451.15623282963037,451.79538199981084,453.5728531577843,453.22704279916286
0.23999999999999996,-0.000647689106108,0.000601853398546,10.08849699,0.00598383620379,0.00958737994732,0.0,-0.0103688538536,0.00790684436348,0.74449415184,0.0506581532194,0.0518223354717,0.0,465.879375164157,465.5354852645459,463.41132922799625,466.2901468182584
0.3,-0.001492432376,0.00121853522872,10.1373605056,0.00860769000422,0.012970862268,0.0,-0.0181434234433,0.0129465555768,0.88418569589,0.0368055940435,0.0609587996286,0.0,449.1365952080566,449.87887386830477,450.89326429623077,449.7741396981865
0.36000000000000004,-0.0028753585531,0.00218595121173,10.1941790946,0.00943089880514,0.0176405508152,0.0,-0.0284109795947,0.0194355680089,1.00965643618,-0.00936327856584,0.0946892203444,0.0,444.8421992856777,447.59949296485314,447.1563176508115,443.37996206924385
0.4200000000000001,-0.00498724485312,0.00355525889379,10.2589399616,0.0085924720931,0.0227534455629,0.0,-0.0425544899049,0.0261262300773,1.14889853665,-0.0185842064163,0.0757464563665,0.0,450.66274142939557,449.13561614637706,451.00677868867115,450.2616156870673
0.48000000000000015,-0.00807986594721,0.00531711573264,10.3331086385,0.00864572410753,0.0268288868494,0.0,-0.0610067504839,0.0325626193195,1.32319328935,0.0203597299433,0.0601053005731,0.0,461.2905886491398,460.0575696737009,460.31339176742154,463.38463616168946
0.5400000000000001,-0.0123266506892,0.00746090894359,10.4161236646,0.0105442699221,0.0309862535108,0.0,-0.0809662975268,0.0390714512764,1.4438151348,0.042923566727,0.0784695216961,0.0,443.8233882134044,445.3312124183237,444.96556914858576,446.808979279914
0.6000000000000002,-0.0177750853386,0.0100097417028,10.5035746315,0.0136771101714,0.0365846122693,0.0,-0.101131002117,0.0461579422724,1.47116188592,0.0615015534811,0.108133208461,0.0,413.87092823171025,416.48051650037803,414.9095616486239,416.5389794046968
0.6600000000000003,-0.0245560016979,0.013049558247,10.5930601051,0.0169486003561,0.0426940361205,0.0,-0.125478854303,0.0554859708405,1.51160526504,0.0475507120728,0.0955189523305,0.0,420.4460552056314,419.3619741567379,420.5975703581247,419.3901304183109
0.7200000000000003,-0.0332224831853,0.0168332762873,10.692048497,0.0202643455542,0.0489836247764,0.0,-0.164168549293,0.0710351269697,1.78757216789,0.0629715916768,0.114127323119,0.0,490.872973734563,492.2596946114276,491.9180030080164,493.0600297079642
0.7800000000000004,-0.0441022875981,0.0215240554639,10.8021099873,0.0238368169042,0.0557996067987,0.0,-0.199174128307,0.0856879006849,1.88094709955,0.0561121577311,0.113072510571,0.0,438.81156796209,438.7357173428909,438.08248846048684,437.5144748285795
0.8400000000000004,-0.0570223123029,0.0270802166919,10.914286283,0.0269334055257,0.0620257857418,0.0,-0.232033854035,0.0997845154907,1.85825719461,0.0471090137269,0.094473955659,0.0,400.9574190137607,399.2757244668715,400.57136011166733,399.75404657199823
0.9000000000000005,-0.0722485355718,0.0336323268043,11.0287463861,0.0290747867702,0.0680317874627,0.0,-0.276097476237,0.118854350363,1.95686323059,0.0242730040756,0.105722182215,0.0,440.49502397117607,441.43252424838784,440.7924896168459,438.90224794170985
0.9600000000000005,-0.0903438092678,0.0414105358168,11.1505270587,0.0308300554067,0.0749299171591,0.0,-0.327791429703,0.140589511651,2.10216953211,0.0342352782295,0.124208048717,0.0,454.60959685761,456.0991210526262,455.1059173964845,455.9027331621304
1.0200000000000005,-0.111573399541,0.0504830318704,11.2794193499,0.0328000362129,0.0817215970424,0.0,-0.380556600134,0.16202044898,2.19399481151,0.0314310042779,0.102190583732,0.0,440.02313619611255,438.2092250114403,439.88421180088676,439.65239023846357
1.0800000000000005,-0.13606016709,0.060863125532,11.4132720374,0.0348429704665,0.0881494743445,0.0,-0.436279853442,0.184170343166,2.26754501345,0.0366663272453,0.112068263417,0.0,434.7650732152518,435.6018460987389,432.8470189696655,433.2878286033301
1.1400000000000006,-0.164437690719,0.0727785668496,11.5562020001,0.0372649217724,0.093863874309,0.0,-0.510329817105,0.213274712785,2.49621746477,0.0440645596316,0.0784237190985,0.0,482.3853905893371,479.8461952036171,482.5488426020636,483.10760901360305
1.2000000000000006,-0.196832802175,0.0862784978486,11.7069395856,0.0403095543024,0.0993873081255,0.0,-0.569986591048,0.236984668792,2.52822199306,0.0574211541243,0.1056823683,0.0,420.8839749683986,423.2433991215263,421.8898602284801,423.04310160536215
1.2600000000000007,-0.232498726922,0.101089059036,11.8554466209,0.0432232305265,0.106525809958,0.0,-0.619396715135,0.256927525504,2.42216738773,0.0397043530834,0.132256599568,0.0,372.3950180998328,374.999907100863,375.23697716968525,373.51539518287365
